bldg_contract_town,year_completed,latitude,longitude,geometry
mp,1978.3589743589744,1.303910997451006,103.912181013929,POINT (11567451.07768905 145163.2389599465)
ct,1982.4444444444443,1.2933341814366945,103.84760575482483,POINT (11560262.59272773 143985.5306962146)
gl,1983.7215568862275,1.3208414420531023,103.89114458163063,POINT (11565109.31275748 147048.4219498332)
amk,1983.8366890380314,1.370433330426441,103.8471091217626,POINT (11560207.30778813 152570.4887524626)
bm,1984.733570159858,1.2820672756261482,103.82235495872982,POINT (11557451.6869643 142730.9876497445)
kwn,1985.1243523316061,1.3190540841778555,103.8605834452975,POINT (11561707.26262282 146849.4013711863)
qt,1986.0275229357799,1.3013547491112443,103.7980296574387,POINT (11554743.80681119 144878.6051372652)
bt,1986.1,1.332613690640059,103.783925624323,POINT (11553173.75302661 148359.2540817914)
tp,1986.2283464566929,1.3360106670875127,103.85482694250126,POINT (11561066.45166279 148737.506335768)
bd,1986.4122516556292,1.3293243870521128,103.92702137955825,POINT (11569103.09963408 147992.9916638556)
cl,1986.850622406639,1.3138674104483834,103.76601530384481,POINT (11551179.98527104 146271.8710534574)
je,1988.0188679245282,1.337311188148177,103.73912097767348,POINT (11548186.12257642 148882.3190832855)
sgn,1988.2451361867704,1.3610665827151824,103.87204282831563,POINT (11562982.9153052 151527.4908668257)
bh,1988.8458781362008,1.3530903732620927,103.84633162251352,POINT (11560120.75696763 150639.3341739919)
tap,1992.2958843159065,1.3536962553792857,103.94687821363563,POINT (11571313.55229234 150706.799483341)
hg,1992.579185520362,1.371141055118468,103.88819494569177,POINT (11564780.96078674 152649.2948577826)
prc,1993.3421550094517,1.3722072700997874,103.95142658308947,POINT (11571819.87446388 152768.0193875273)
bb,1993.476482617587,1.3528362499289366,103.74886938850622,POINT (11549271.31070636 150611.0374050984)
ys,1993.6652661064427,1.4257755329842148,103.83855304374678,POINT (11559254.84954022 158732.9893919092)
jw,1994.4696629213483,1.3433348472722697,103.70753537935393,POINT (11544670.02985508 149553.0532661656)
wl,1995.7497116493657,1.438061296619639,103.790868316909,POINT (11553946.61003002 160101.0615626147)
bp,1996.366265060241,1.3823242159057874,103.76797758358035,POINT (11551398.42525199 153894.5580953686)
cck,1996.9029733959312,1.3863265938359417,103.74557006256265,POINT (11548904.03142236 154340.2308442747)
sk,2005.1042424242423,1.3905115582342527,103.89292883478511,POINT (11565307.93491009 154806.2357656349)
sb,2005.1238670694863,1.4495031466196389,103.82138050138822,POINT (11557343.21086924 161375.1669729898)
pg,2009.5645933014355,1.401371555302002,103.90661182324224,POINT (11566831.11821767 156015.5240061698)
